"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Tealium E-Commerce","0","User Registration","1","0","As a new user, I should see an error when entering invalid email format","0"
"0","Tealium E-Commerce","0","User Login","1","0","As a user, I want to see an error when I enter a wrong password","0"
"0","Tealium E-Commerce","0","User Login","1","0","As a user, I want to see an error when I leave the email field empty","0"
"0","Tealium E-Commerce","0","User Registration","1","0","As a new user, I want to register successfully so that I can log in later","0"
"0","Tealium E-Commerce","0","User Login","1","0","As a user, I want to see an error when I leave the password field empty","0"
"0","Tealium E-Commerce","0","User Registration","1","0","As a new user, I should see an error if password and confirm password do not match","0"
"0","Tealium E-Commerce","0","User Registration","1","0","As a new user, I should see an error if I try to register with an email that already exists","0"
"0","Tealium E-Commerce","0","User Login","1","0","As a registered user, I want to log in with my saved credentials","0"
"0","Tealium E-Commerce","0","User Registration","1","0","As a new user, I should see an error when required fields are missing","0"
"0","Tealium E-Commerce","0","User Login","1","0","As a user, I want to see errors when I leave both fields empty","0"
"0","Tealium E-Commerce","0","User Login","1","0","As a user, I want to see an error when I enter a wrong email","0"
"0","Tealium E-Commerce","0","Add Item to Cart","1","0","As a customer, I want to select item options and add the item to the cart so that I can purchase it","0"
