"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2975","Validate registration fails for invalid email format","Tealium E-Commerce Suite","Fri Sep 05 02:53:33 EEST 2025","passed","Fri Sep 05 02:53:36 EEST 2025","RegistrationTests","Tests","RegistrationTests","testRegistrationInvalidEmail"
"","4782","Verify error message for correct email and wrong password","Tealium E-Commerce Suite","Fri Sep 05 02:54:58 EEST 2025","passed","Fri Sep 05 02:55:03 EEST 2025","LoginTests","Tests","LoginTests","testLoginWrongPassword"
"","2998","Verify error message for empty email field","Tealium E-Commerce Suite","Fri Sep 05 02:54:11 EEST 2025","passed","Fri Sep 05 02:54:14 EEST 2025","LoginTests","Tests","LoginTests","testLoginEmptyEmail"
"","5111","Validate that a user can successfully register with valid credentials","Tealium E-Commerce Suite","Fri Sep 05 02:54:00 EEST 2025","passed","Fri Sep 05 02:54:05 EEST 2025","RegistrationTests","Tests","RegistrationTests","testSuccessfulRegistration"
"","4527","Verify error message for empty password field","Tealium E-Commerce Suite","Fri Sep 05 02:54:29 EEST 2025","passed","Fri Sep 05 02:54:33 EEST 2025","LoginTests","Tests","LoginTests","testLoginEmptyPassword"
"","2136","Validate registration fails if password and confirm password do not match","Tealium E-Commerce Suite","Fri Sep 05 02:53:52 EEST 2025","passed","Fri Sep 05 02:53:54 EEST 2025","RegistrationTests","Tests","RegistrationTests","testRegistrationPasswordMismatch"
"","5046","Validate registration fails when using an already registered email","Tealium E-Commerce Suite","Fri Sep 05 02:53:21 EEST 2025","passed","Fri Sep 05 02:53:26 EEST 2025","RegistrationTests","Tests","RegistrationTests","testRegistrationAlreadyRegisteredEmail"
"","4786","Validate that a registered user can log in successfully","Tealium E-Commerce Suite","Fri Sep 05 02:54:38 EEST 2025","passed","Fri Sep 05 02:54:43 EEST 2025","LoginTests","Tests","LoginTests","testLoginWithRegisteredUser"
"","2335","Validate registration fails when required fields are empty","Tealium E-Commerce Suite","Fri Sep 05 02:53:43 EEST 2025","passed","Fri Sep 05 02:53:45 EEST 2025","RegistrationTests","Tests","RegistrationTests","testRegistrationMissingRequiredFields"
"","2708","Verify error message for empty email and password fields","Tealium E-Commerce Suite","Fri Sep 05 02:54:19 EEST 2025","passed","Fri Sep 05 02:54:22 EEST 2025","LoginTests","Tests","LoginTests","testLoginEmptyEmailAndPassword"
"","4538","Verify error message for wrong email and correct password","Tealium E-Commerce Suite","Fri Sep 05 02:54:49 EEST 2025","passed","Fri Sep 05 02:54:53 EEST 2025","LoginTests","Tests","LoginTests","testLoginWrongEmail"
"","8346","Verify user can select item options, add it to cart successfully","Tealium E-Commerce Suite","Fri Sep 05 02:55:12 EEST 2025","passed","Fri Sep 05 02:55:20 EEST 2025","AddToCartTests","Tests","AddToCartTests","testAddItemToCart"
